Слово,Транскрипция
людской,lʲʊt͡sˈkoɪ̯
люизит,lʲʊɪˈzʲit
люк,lʲuk
люк-лаз,ˈlʲuk ˈɫas
люкарна,lʲʊˈkarnə
люковой,ˈlʲukəvɨɪ̯
люковый,ˈlʲukəvɨɪ̯
люкс,lʲuks
люкс-маркетинг,lʲuks ˈmarkʲɪtʲɪnk
люкс-секунда,ˌlʲuks sʲɪˈkundə
люксембургский,lʲʊksʲɪmˈburskʲɪɪ̯
люксембуржец,lʲʊksʲɪmˈburʐɨt͡s
люксметр,lʲʊkˈsmʲetr
люксовский,ˈlʲuksəfskʲɪɪ̯
люксовый,ˈlʲuksəvɨɪ̯
люлечка,ˈlʲʉlʲɪt͡ɕkə
люли,lʲʉˈlʲi
люлька,ˈlʲʉlʲkə
люля-кебаб,lʲʉˌlʲa kʲɪˈbap
люмбаго,lʲʊmˈbaɡə
люмен,ˈlʲʉmʲɪn
люмен-секунда,ˌlʲʉmʲɪn sʲɪˈkundə
люмен-час,ˌlʲʉmʲɪn ˈt͡ɕas
люменометр,lʲʉmʲɪˈnomʲɪtr
люминал,lʲʉmʲɪˈnaɫ
люминесцентный,lʲʉmʲɪnʲɪˈst͡sɛntnɨɪ̯
люминесценция,lʲʉmʲɪnʲɪˈst͡sɛnt͡sɨɪ̯ə
люминесцировать,lʲʉmʲɪnʲɪˈst͡sɨrəvətʲ
люминесцирующий,lʲʉmʲɪnʲɪˈst͡sɨrʊjʉɕːɪɪ̯
люминофор,lʲʉmʲɪnɐˈfor
люминофоры,lʲʉmʲɪnɐˈfor
люмпен,"ˈlʲumpʲɪn, ˈlʲʉmʲpʲɪn"
люмпен-интеллигент,"ˈlʲumpʲɪn ɪnʲtʲɪlʲɪˈɡʲent, ˈlʲʉmʲpʲɪn ɪnʲtʲɪlʲɪˈɡʲent"
люмпен-интеллигенция,"ˌlʲumpʲɪn ɪnʲtʲɪlʲɪˈɡʲent͡sɨɪ̯ə, ˌlʲʉmʲpʲɪn ɪnʲtʲɪlʲɪˈɡʲent͡sɨɪ̯ə"
люмпен-пролетариат,"ˈlʲumpʲɪn prəlʲɪtərʲɪˈat, ˈlʲʉmʲpʲɪn prəlʲɪtərʲɪˈat"
люмпен-пролетарий,"ˈlʲumpʲɪn prəlʲɪˈtarʲɪɪ̯, ˈlʲʉmʲpʲɪn prəlʲɪˈtarʲɪɪ̯"
люмпенизация,"lʲʊmpʲɪnʲɪˈzat͡sɨɪ̯ə, lʲʉmʲpʲɪnʲɪˈzat͡sɨɪ̯ə"
люмпенизировать,"lʲʊmpʲɪnʲɪˈzʲirəvətʲ, lʲʉmʲpʲɪnʲɪˈzʲirəvətʲ"
люмпенизироваться,"lʲʊmpʲɪnʲɪˈzʲirəvət͡sə, lʲʉmʲpʲɪnʲɪˈzʲirəvət͡sə"
люмпенский,"ˈlʲumpʲɪnskʲɪɪ̯, ˈlʲʉmʲpʲɪnskʲɪɪ̯"
люмпенство,"ˈlʲumpʲɪnstvə, ˈlʲʉmʲpʲɪnstvə"
люмпенствовать,"ˈlʲumpʲɪnstvəvətʲ, ˈlʲʉmʲpʲɪnstvəvətʲ"
люнет,lʲʉˈnʲet
люнетта,lʲʉˈnʲet(ː)ə
люпин,lʲʉˈpʲin
люпиновый,lʲʉˈpʲinəvɨɪ̯
люпозорий,lʲʊpɐˈzorʲɪɪ̯
люпус,ˈlʲupʊs
люрекс,ˈlʲurɛks
люстр,lʲustr
люстра,ˈlʲustrə
люстрационный,lʲʊstrət͡sɨˈonːɨɪ̯
люстрация,lʲʊˈstrat͡sɨɪ̯ə
люстрин,lʲʊˈstrʲin
люстриновый,lʲʊˈstrʲinəvɨɪ̯
люстрировать,lʲʊˈstrʲirəvətʲ
люстрироваться,lʲʊˈstrʲirəvət͡sə
лютеинизирующий,lʲʉtʲɪɪnʲɪˈzʲirʊjʉɕːɪɪ̯
лютеиновый,lʲʉtʲɪˈinəvɨɪ̯
лютеранин,lʲʉtʲɪˈranʲɪn
лютеранка,lʲʉtʲɪˈrankə
лютерански,lʲʉtʲɪˈranskʲɪ
лютеранский,lʲʉtʲɪˈranskʲɪɪ̯
лютеранство,lʲʉtʲɪˈranstvə
лютесценс,lʲʊˈtɛst͡sɨns
лютеть,lʲʉˈtʲetʲ
лютеций,lʲʊˈtɛt͡sɨɪ̯
лютик,ˈlʲʉtʲɪk
лютиковый,ˈlʲʉtʲɪkəvɨɪ̯
лютневый,ˈlʲʉtʲnʲɪvɨɪ̯
лютнист,lʲʉtʲˈnʲist
лютня,ˈlʲʉtʲnʲə
люто,ˈlʲutə
лютование,lʲʊtɐˈvanʲɪɪ̯ə
лютовать,lʲʊtɐˈvatʲ
лютость,ˈlʲutəsʲtʲ
лютый,ˈlʲutɨɪ̯
лють,lʲʉtʲ
люфа,ˈlʲufə
люфовый,lʲʊˈfovɨɪ̯
люфт,lʲuft
люфтваффе,lʲʊftˈvafɛ
люфтомер,lʲʊftɐˈmʲer
люфтпауза,lʲʊftˈpaʊzə
люффа,ˈlʲufːə
люцерна,lʲʊˈt͡sɛrnə
люцерник,lʲʊˈt͡sɛrnʲɪk
люцерновый,lʲʊˈt͡sɛrnəvɨɪ̯
люэс,ˈlʲuɛs
люэтический,lʲʊɛˈtʲit͡ɕɪskʲɪɪ̯
ля,lʲa
ля-бемоль,ˌlʲæbʲɪˈmolʲ
ля-диез,ˌlʲa dʲɪˈɛs
ля-ля,lʲa ˈlʲa
ля-ля-ля,lʲa lʲa ˈlʲa
ля-мажорный,lʲa mɐˈʐornɨɪ̯
ля-минорный,lʲa mʲɪˈnornɨɪ̯
лявониха,lʲɪˈvonʲɪxə
лягание,lʲɪˈɡanʲɪɪ̯ə
лягать,lʲɪˈɡatʲ
лягаться,lʲɪˈɡat͡sːə
лягва,ˈlʲaɡvə
лягнуть,lʲɪˈɡnutʲ
лягуха,lʲɪˈɡuxə
лягушатник,lʲɪɡʊˈʂatʲnʲɪk
лягушачий,lʲɪɡʊˈʂat͡ɕɪɪ̯
лягушечий,lʲɪˈɡuʂɨt͡ɕɪɪ̯
лягушечка,lʲɪˈɡuʂɨt͡ɕkə
лягушиный,lʲɪɡʊˈʂɨnɨɪ̯
лягушка,lʲɪˈɡuʂkə
лягушка-квакушка,lʲɪˈɡuʂkə kvɐˈkuʂkə
лягушонок,lʲɪɡʊˈʂonək
ляд,lʲat
ляда,ˈlʲadə ~ lʲɪˈda
лядвея,ˈlʲadvʲɪɪ̯ə
лядина,lʲɪˈdʲinə
лядунка,lʲɪˈdunkə
ляжка,ˈlʲaʂkə
лязг,lʲask
лязгание,ˈlʲazɡənʲɪɪ̯ə
лязганье,ˈlʲazɡənʲɪ̯ə
лязгать,ˈlʲazɡətʲ
лязгнуть,ˈlʲazɡnʊtʲ
лякросс,lʲaˈkros
лялька,ˈlʲælʲkə
ляля,ˈlʲælʲə
лялякать,lʲæˈlʲakətʲ
лямбда,ˈlʲambdə
лямбда-выражение,ˌlʲambdə vɨrɐˈʐɛnʲɪɪ̯ə
лямбда-гиперон,ˌlʲambdə ɡʲɪpʲɪˈron
лямбда-дублет,ˌlʲambdə dʊˈblʲet
лямбда-исчисление,ˌlʲambdə ɪɕt͡ɕɪˈslʲenʲɪɪ̯ə
лямбда-матрица,ˌlʲambdə ˈmatrʲɪt͡sə
лямбда-нотация,ˌlʲambdə nɐˈtat͡sɨɪ̯ə
лямбда-обозначение,ˌlʲambdə ɐbəznɐˈt͡ɕenʲɪɪ̯ə
лямбда-переход,ˌlʲambdə pʲɪrʲɪˈxot
лямбда-преобразование,ˌlʲambdə prʲɪəbrəzɐˈvanʲɪɪ̯ə
лямбда-распределение,ˌlʲambdə rəsprʲɪdʲɪˈlʲenʲɪɪ̯ə
лямбда-точка,ˌlʲambdə ˈtot͡ɕkə
лямбда-удвоение,ˌlʲambdə ʊdvɐˈjenʲɪɪ̯ə
лямбда-функция,ˌlʲambdə ˈfunkt͡sɨɪ̯ə
лямбда-частица,ˌlʲambdə t͡ɕɪˈsʲtʲit͡sə
лямблиоз,lʲɪmblʲɪˈos
лямблия,ˈlʲamblʲɪɪ̯ə
лямзить,ˈlʲamzʲɪtʲ
лямка,ˈlʲamkə
лямочка,ˈlʲamət͡ɕkə
лямочник,ˈlʲamət͡ɕnʲɪk
лямочный,ˈlʲamət͡ɕnɨɪ̯
лян,lʲan
ляни,ˈlʲænʲɪ
ляп,lʲap
ляпать,ˈlʲapətʲ
ляпаться,ˈlʲapət͡sə
ляпис,ˈlʲæpʲɪs
ляпис-лазурь,ˌlʲæpʲɪs ɫɐˈzurʲ
ляписный,ˈlʲæpʲɪsnɨɪ̯
ляпнуть,ˈlʲapnʊtʲ
ляпнуться,ˈlʲapnʊt͡sə
ляпсус,ˈlʲapsʊs
лярд,lʲart
лясканье,ˈlʲaskənʲɪ̯ə
ляскать,ˈlʲaskətʲ
ляскнуть,ˈlʲasknʊtʲ
лясничать,ˈlʲæsʲnʲɪt͡ɕɪtʲ
ляссе,lʲɪˈs(ː)ɛ
лях,lʲax
ляхи,lʲax
ляшка,ˈlʲaʂkə
ляшский,ˈlʲaʂskʲɪɪ̯
лёгенький,ˈlʲɵɡʲɪnʲkʲɪɪ̯
лёгкий,ˈlʲɵxʲkʲɪɪ̯
лёгкий,ˈlʲɵxʲkʲɪɪ̯
лёгкое,ˈlʲɵxkəɪ̯ə
лёгкость,ˈlʲɵxkəsʲtʲ
лёгонький,ˈlʲɵɡənʲkʲɪɪ̯
лёгость,ˈlʲɵɡəsʲtʲ
лёгочник,ˈlʲɵɡət͡ɕnʲɪk
лёгочница,ˈlʲɵɡət͡ɕnʲɪt͡sə
лёгочный,ˈlʲɵɡət͡ɕnɨɪ̯
лёгший,ˈlʲɵkʂɨɪ̯
лёд,lʲɵt
лёжа,ˈlʲɵʐə
лёживать,ˈlʲɵʐɨvətʲ
лёжка,ˈlʲɵʂkə
лёжкий,ˈlʲɵʂkʲɪɪ̯
лёжкость,ˈlʲɵʂkəsʲtʲ
лёллингит,lʲɵlʲɪnˈɡʲit
лён,lʲɵn
лёсс,lʲɵs
лёссовидный,ˌlʲɵsɐˈvʲidnɨɪ̯
лёссовый,ˈlʲɵsəvɨɪ̯
лёт,lʲɵt
лётка,ˈlʲɵtkə
лётно-тактический,ˈlʲɵtnə tɐˈktʲit͡ɕɪskʲɪɪ̯
лётно-технический,ˌlʲɵtnə tʲɪˈxnʲit͡ɕɪskʲɪɪ̯
лётный,ˈlʲɵtnɨɪ̯
лётом,ˈlʲɵtəm
лётчик,ˈlʲɵt͡ɕːɪk
лётчик-испытатель,ˈlʲɵt͡ɕːɪk ɨspɨˈtatʲɪlʲ
лётчик-космонавт,ˈlʲɵt͡ɕːɪk kəsmɐˈnaft
лётчица,ˈlʲɵt͡ɕːɪt͡sə
лётчицкий,ˈlʲɵt͡ɕːɪt͡skʲɪɪ̯
МВ-печь,ɛmˌvɛ ˈpʲet͡ɕ
МВД,ɛmvɛˈdɛ
МВФ,ɛmvɛˈɛf
МГБ,ɛmɡɛˈbɛ
МГД,ɛmɡɛˈdɛ
МКС,ɛmkɐˈɛs
МСЭ,ɛmɛˈsɛ
МТС,ɛmtɛˈɛs
МХАТ,mxat
Млада,ˈmɫadə
Мстислав,msʲtʲɪˈsɫaf
Мстислава,msʲtʲɪˈsɫavə
Мстиславль,msʲtʲɪˈsɫavlʲ
Мытищи,mɨˈtʲiɕːɪ
Мышкин,ˈmɨʂkʲɪn
Мэн,mɛn
Мэриборо,ˈmɛrʲɪbərə
Мюнхен,ˈmʲunxʲɪn
Мягков,mʲɪxˈkof
Мядель,ˈmʲadɛlʲ
Мясоедов,mʲɪsɐˈjedəf
Мёбиус,ˈmʲɵbʲɪʊs
м,m
м-да,m‿da
мга,mɡa
мгла,mɡɫa
мглисто,ˈmɡlʲistə
мглистость,ˈmɡlʲistəsʲtʲ
мглистый,ˈmɡlʲistɨɪ̯
мгновение,mɡnɐˈvʲenʲɪɪ̯ə
мгновенно,mɡnɐˈvʲenːə
мгновеннодействующий,mɡnɐˌvʲenːɐˈdʲeɪ̯stvʊjʉɕːɪɪ̯
мгновенность,mɡnɐˈvʲenːəsʲtʲ
мгновенный,mɡnɐˈvʲenːɨɪ̯
мгновенье,mɡnɐˈvʲenʲɪ̯ə
мзда,mzda
мздоимец,mzdɐˈimʲɪt͡s
мздоимство,mzdɐˈimstvə
мздоимствовать,mzdɐˈimstvəvətʲ
младенец,mɫɐˈdʲenʲɪt͡s
младенчески,mɫɐˈdʲenʲt͡ɕɪskʲɪ
младенческий,mɫɐˈdʲenʲt͡ɕɪskʲɪɪ̯
младенчество,mɫɐˈdʲenʲt͡ɕɪstvə
младенчик,mɫɐˈdʲenʲt͡ɕɪk
младогегельянец,ˌmɫadəɡʲɪɡʲɪˈlʲjænʲɪt͡s
младогегельянство,ˌmɫadəɡʲɪɡʲɪˈlʲjanstvə
младогегельянцы,ˌmɫadəɡʲɪɡʲɪˈlʲjænʲɪt͡s
младограмматизм,ˌmɫadəɡrəmɐˈtʲizm
младограмматик,ˌmɫadəɡrɐˈmatʲɪk
младограмматический,ˌmɫadəɡrəmɐˈtʲit͡ɕɪskʲɪɪ̯
младой,mɫɐˈdoɪ̯
младописьменный,ˌmɫadɐˈpʲisʲmʲɪn(ː)ɨɪ̯
младореформатор,ˌmɫadərʲɪfɐrˈmatər
младость,ˈmɫadəsʲtʲ
младотурецкий,ˌmɫadətʊˈrʲet͡skʲɪɪ̯
младотурки,mɫədɐˈturkʲɪ
младотурок,mɫədɐˈturək
младше,ˈmɫat͡ʂʂə
младшеклассник,mɫət͡ʂʂɨˈkɫasʲnʲɪk
младшекурсник,mɫət͡ʂʂɨˈkurs⁽ʲ⁾nʲɪk
младшенький,ˈmɫat͡ʂʂɨnʲkʲɪɪ̯
младший,ˈmɫat͡ʂʂɨɪ̯
младёхонький,mɫɐˈdʲɵxənʲkʲɪɪ̯
младёшенький,mɫɐˈdʲɵʂɨnʲkʲɪɪ̯
млат,mɫat
млекопитающее,mlʲɪkəpʲɪˈtajʉɕːɪɪ̯ə
млекопитающие,mlʲɪkəpʲɪˈtajʉɕːɪɪ̯ə
мление,ˈmlʲenʲɪɪ̯ə
млеть,mlʲetʲ
млечник,ˈmlʲet͡ɕnʲɪk
млечный,ˈmlʲet͡ɕnɨɪ̯
млеющий,ˈmlʲejʉɕːɪɪ̯
мм,mː
мразь,mrasʲ
мрак,mrak
мракобес,mrəkɐˈbʲes
мракобесие,mrəkɐˈbʲesʲɪɪ̯ə
мракобеска,mrəkɐˈbʲeskə
мракобесный,mrəkɐˈbʲesnɨɪ̯
мрамор,ˈmramər
мраморирование,mrəmɐˈrʲirəvənʲɪɪ̯ə
мраморированный,mrəmɐˈrʲirəvən(ː)ɨɪ̯
мраморировать,mrəmɐˈrʲirəvətʲ
мраморироваться,mrəmɐˈrʲirəvət͡sə
мраморировка,mrəmərʲɪˈrofkə
мраморист,mrəmɐˈrʲist
мрамористый,mrəmɐˈrʲistɨɪ̯
мраморно-белый,ˌmramərnə ˈbʲeɫɨɪ̯
мраморный,ˈmramərnɨɪ̯
мраморообрабатывающий,ˌmramərɐɐbrɐˈbatɨvəjʉɕːɪɪ̯
мраморщик,ˈmramərɕːɪk
мрачить,mrɐˈt͡ɕitʲ
мрачиться,mrɐˈt͡ɕit͡sːə
мрачнеть,mrɐt͡ɕˈnʲetʲ
мрачно,ˈmrat͡ɕnə
мрачновато,mrət͡ɕnɐˈvatə
мрачноватый,mrət͡ɕnɐˈvatɨɪ̯
мрачность,ˈmrat͡ɕnəsʲtʲ
мрачный,ˈmrat͡ɕnɨɪ̯
мрежа,ˈmrʲeʐə
мреть,mrʲetʲ
мста,msta
мститель,ˈmsʲtʲitʲɪlʲ
мстительница,ˈmsʲtʲitʲɪlʲnʲɪt͡sə
мстительно,ˈmsʲtʲitʲɪlʲnə
мстительность,ˈmsʲtʲitʲɪlʲnəsʲtʲ
мстительный,ˈmsʲtʲitʲɪlʲnɨɪ̯
мстить,msʲtʲitʲ
мсье,msʲjɵ
мтилон,mtʲɪˈɫon
мхатовский,ˈmxatəfskʲɪɪ̯
мцыри,ˈmt͡sɨrʲɪ
мчать,mt͡ɕætʲ
мчаться,ˈmt͡ɕat͡sːə
мшаник,ˈmʂanʲɪk
мшанка,ˈmʂankə
мшаный,ˈmʂanɨɪ̯
мшара,ˈmʂarə
мшистость,ˈmʂɨstəsʲtʲ
мшистый,ˈmʂɨstɨɪ̯
мшить,mʂɨtʲ
мшиться,ˈmʂɨt͡sːə
мщение,ˈmɕːenʲɪɪ̯ə
мы,mɨ
мыза,ˈmɨzə
мызгать,ˈmɨzɡətʲ
мызник,ˈmɨzʲnʲɪk
мызный,ˈmɨznɨɪ̯
мыкание,ˈmɨkənʲɪɪ̯ə
мыканный,ˈmɨkən(ː)ɨɪ̯
мыканье,ˈmɨkənʲɪ̯ə
мыкать,ˈmɨkətʲ
мыкаться,ˈmɨkət͡sə
мыкнуть,ˈmɨknʊtʲ
мыленный,ˈmɨlʲɪn(ː)ɨɪ̯
мылистый,ˈmɨlʲɪstɨɪ̯
мылить,ˈmɨlʲɪtʲ
мылиться,ˈmɨlʲɪt͡sə
мылкий,ˈmɨɫkʲɪɪ̯
мылкость,ˈmɨɫkəsʲtʲ
мыло,ˈmɨɫə
мыловар,mɨɫɐˈvar
мыловарение,mɨɫəvɐˈrʲenʲɪɪ̯ə
мыловаренный,mɨɫɐˈvarʲɪn(ː)ɨɪ̯
мыловарня,mɨɫɐˈvarnʲə
мылонафт,mɨɫɐˈnaft
мылообразный,mɨɫɐɐˈbraznɨɪ̯
мылохолодильный,mɨɫəxəɫɐˈdʲilʲnɨɪ̯
мыльница,ˈmɨlʲnʲɪt͡sə
мыльный,ˈmɨlʲnɨɪ̯
мыльня,ˈmɨlʲnʲə
мыльнянка,mɨlʲˈnʲankə
мыльце,ˈmɨlʲt͡sə
мыльщик,ˈmɨlʲɕːɪk
мылящий,ˈmɨlʲɪɕːɪɪ̯
мылящийся,ˈmɨlʲɪɕːɪɪ̯sʲə
мымра,ˈmɨmrə
мыс,mɨs
мыс,mɨs
мысик,ˈmɨsʲɪk
мысленно,ˈmɨslʲɪn(ː)ə
мысленный,ˈmɨslʲɪn(ː)ɨɪ̯
мыслете,mɨˈslʲetʲɪ
мыслимый,ˈmɨslʲɪmɨɪ̯
мыслитель,mɨˈslʲitʲɪlʲ
мыслительный,mɨˈslʲitʲɪlʲnɨɪ̯
мыслить,ˈmɨslʲɪtʲ
мыслиться,ˈmɨslʲɪt͡sə
мыслишка,mɨˈslʲiʂkə
мысль,mɨslʲ
мыслящий,ˈmɨslʲɪɕːɪɪ̯
мыслящийся,ˈmɨslʲɪɕːɪɪ̯sʲə
мысок,mɨˈsok
мыт,mɨt
мытарить,mɨˈtarʲɪtʲ
мытариться,mɨˈtarʲɪt͡sə
мытарство,mɨˈtarstvə
мытарствовать,mɨˈtarstvəvətʲ
мытарь,ˈmɨtərʲ
мытарящий,mɨˈtarʲɪɕːɪɪ̯
мытарящийся,mɨˈtarʲɪɕːɪɪ̯sʲə
мытищинец,mɨˈtʲiɕːɪnʲɪt͡s
мытищинский,mɨtʲɪˈɕːinskʲɪɪ̯
мытищинцы,mɨˈtʲiɕːɪnʲɪt͡s
мытник,ˈmɨtʲnʲɪk
мытный,ˈmɨtnɨɪ̯
мыто,ˈmɨtə
мытый,ˈmɨtɨɪ̯
мыть,mɨtʲ
мытье,mɨˈtʲjɵ
мыться,ˈmɨt͡sːə
мытьё,mɨˈtʲjɵ
мычание,mɨˈt͡ɕænʲɪɪ̯ə
мычать,mɨˈt͡ɕætʲ
мыш,mɨʂ
мышастый,mɨˈʂastɨɪ̯
мышатник,mɨˈʂatʲnʲɪk
мышевидный,mɨʂɨˈvʲidnɨɪ̯
мышей,mɨˈʂɛɪ̯
мышелов,mɨʂɨˈɫof
мышеловка,mɨʂɨˈɫofkə
мышеобразный,mɨʂɨɐˈbraznɨɪ̯
мышехвостник,mɨʂɨˈxvosʲnʲɪk
мышечный,ˈmɨʂɨt͡ɕnɨɪ̯
мыший,ˈmɨʂɨɪ̯
мышиный,mɨˈʂɨnɨɪ̯
мышить,mɨˈʂɨtʲ
мышка,ˈmɨʂkə
мышка-норушка,ˈmɨʂkə nɐˈruʂkə
мышкование,mɨʂkɐˈvanʲɪɪ̯ə
мышковать,mɨʂkɐˈvatʲ
мышление,ˈmɨʂlʲɪnʲɪɪ̯ə
мышовка,mɨˈʂofkə
мышонок,mɨˈʂonək
мышоночек,mɨˈʂonət͡ɕɪk
мышца,ˈmɨʂt͡sə
мышца-разгибатель,ˈmɨʂt͡sə rəzɡʲɪˈbatʲɪlʲ
мышца-сгибатель,ˈmɨʂt͡sə zɡʲɪˈbatʲɪlʲ
мышцы,ˈmɨʂt͡sə
мышь,mɨʂ
мышьяк,mɨʂˈjak
мышьяковистый,mɨʂɪ̯ɪˈkovʲɪstɨɪ̯
мышьяковый,mɨʂɪ̯ɪˈkovɨɪ̯
мышьячный,mɨʂˈjæt͡ɕnɨɪ̯
мыщелка,ˈmɨɕːɪɫkə
мыщелок,ˈmɨɕːɪɫək
мэйнфрейм,mɛɪ̯nˈfrɛɪ̯m
мэлан,mɛˈɫan
мэм,mɛm
мэн,mɛn
мэнский,ˈmɛnskʲɪɪ̯
мэнээс,mɛnɛˈɛs
мэнээсовский,mɛnɛˈɛsəfskʲɪɪ̯
мэр,mɛr
мэрия,ˈmɛrʲɪɪ̯ə
мэрон,mɛˈron
мэрский,ˈmɛrskʲɪɪ̯
мэрство,ˈmɛrstvə
мэтр,mɛtr
мю,mʲu
мю-мезоатом,ˌmʲu mʲɪzɐˈatəm
мю-мезон,mʲu mʲɪˈzon
мю-металл,ˌmʲu mʲɪˈtaɫ
мю-частица,ˌmʲu t͡ɕɪˈsʲtʲit͡sə
мюзет,mʲʊˈzɛt
мюзик-холл,ˌmʲʉzʲɪk ˈxoɫ
мюзик-холльный,ˌmʲʉzʲɪk ˈxolʲnɨɪ̯
мюзикл,ˈmʲʉzʲɪkɫ
мюид,mʲʊˈit
мюль-машина,mʲʉlʲ mɐˈʂɨnə
мюнстерец,"ˈmʲunsʲtʲɪrʲɪt͡s, ˈmʲʉnʲsʲtʲɪrʲɪt͡s"
мюнхенец,ˈmʲunxʲɪnʲɪt͡s
мюнхенский,ˈmʲunxʲɪnskʲɪɪ̯
мюнхенцы,ˈmʲunxʲɪnʲɪt͡s
мюон,mʲʊˈon
мюоний,mʲʊˈonʲɪɪ̯
мюрид,mʲʉˈrʲit
мюридизм,mʲʉrʲɪˈdʲizm
мюсли,ˈmʲuslʲɪ
мягенький,ˈmʲæɡʲɪnʲkʲɪɪ̯
мягкий,ˈmʲæxʲkʲɪɪ̯
мягко,ˈmʲaxkə
мягковато,mʲɪxkɐˈvatə
мягковатый,mʲɪxkɐˈvatɨɪ̯
мягкокожий,mʲɪxkɐˈkoʐɨɪ̯
мягкоплодный,mʲɪxkɐˈpɫodnɨɪ̯
мягкопокровный,mʲɪxkəpɐˈkrovnɨɪ̯
мягкосердечие,mʲɪxkəsʲɪrˈdʲet͡ɕɪɪ̯ə
мягкосердечность,mʲɪxkəsʲɪrˈdʲet͡ɕnəsʲtʲ
мягкосердечный,mʲɪxkəsʲɪrˈdʲet͡ɕnɨɪ̯
мягкосердый,mʲɪxkɐˈsʲerdɨɪ̯
мягкость,ˈmʲaxkəsʲtʲ
мягкотелость,mʲɪxkɐˈtʲeɫəsʲtʲ
мягкотелый,mʲɪxkɐˈtʲeɫɨɪ̯
мягкошёрстный,mʲɪxkɐˈʂorsnɨɪ̯
мягонький,ˈmʲaɡənʲkʲɪɪ̯
мягчайший,mʲɪxˈt͡ɕæɪ̯ʂɨɪ̯
мягче,ˈmʲaxt͡ɕɪ
мягчение,mʲɪxˈt͡ɕenʲɪɪ̯ə
мягчеть,mʲɪxˈt͡ɕetʲ
мягчитель,mʲɪxˈt͡ɕitʲɪlʲ
мягчительный,mʲɪxˈt͡ɕitʲɪlʲnɨɪ̯
мягчить,mʲɪxˈt͡ɕitʲ
мягчиться,mʲɪxˈt͡ɕit͡sːə
мякенький,ˈmʲækʲɪnʲkʲɪɪ̯
мякина,mʲɪˈkʲinə
мякинник,mʲɪˈkʲinʲːɪk
мякинный,mʲɪˈkʲinːɨɪ̯
мякиш,ˈmʲækʲɪʂ
мякнувший,ˈmʲaknʊfʂɨɪ̯
мякнуть,ˈmʲaknʊtʲ
мяконький,ˈmʲakənʲkʲɪɪ̯
мякотный,ˈmʲakətnɨɪ̯
мякоть,ˈmʲakətʲ
мялка,ˈmʲaɫkə
мяло,ˈmʲaɫə
мяльный,ˈmʲælʲnɨɪ̯
мяльня,ˈmʲælʲnʲə
мяльщик,ˈmʲælʲɕːɪk
мямлить,ˈmʲamlʲɪtʲ
мямля,ˈmʲamlʲə
мямлящий,ˈmʲamlʲɪɕːɪɪ̯
мясистость,mʲɪˈsʲistəsʲtʲ
мясистый,mʲɪˈsʲistɨɪ̯
мяско,mʲɪˈsko
мясник,mʲɪˈsʲnʲik
мясницкий,mʲɪˈsʲnʲit͡skʲɪɪ̯
мясной,mʲɪˈsnoɪ̯
мясность,ˈmʲasnəsʲtʲ
мясо,ˈmʲasə
мясо-костный,ˌmʲasə ˈkosnɨɪ̯
мясо-молочный,ˌmʲasə mɐˈɫot͡ɕnɨɪ̯
мясо-сальный,ˌmʲasə ˈsalʲnɨɪ̯
мясо-шёрстный,ˌmʲasə ˈʂorsnɨɪ̯
мясоед,mʲɪsɐˈjet
мясозаготовительный,ˌmʲasəzəɡətɐˈvʲitʲɪlʲnɨɪ̯
мясозаготовка,ˌmʲasəzəɡɐˈtofkə
мясозаготовки,ˌmʲasəzəɡɐˈtofkə
мясокомбинат,ˌmʲasəkəm⁽ʲ⁾bʲɪˈnat
мясоконсервный,ˌmʲasəkɐn⁽ʲ⁾ˈsʲervnɨɪ̯
мясокостный,mʲɪsɐˈkosnɨɪ̯
мясоперерабатывающий,ˌmʲasəpʲɪrʲɪrɐˈbatɨvəjʉɕːɪɪ̯
мясопоставка,ˌmʲasəpɐˈstafkə
мясопоставки,ˌmʲasəpɐˈstafkə
мясопромышленный,ˌmʲasəprɐˈmɨʂlʲɪn(ː)ɨɪ̯
мясопуст,mʲɪsɐˈpust
мясопустный,mʲɪsɐˈpusnɨɪ̯
мясорезка,mʲɪsɐˈrʲeskə
мясорубка,mʲɪsɐˈrupkə
мясосовхоз,ˌmʲasəsɐfˈxos
мясохладобойня,ˌmʲasəxɫədɐˈboɪ̯nʲə
мястись,mʲɪˈsʲtʲisʲ
мясцо,mʲɪˈst͡so
мята,ˈmʲatə
мятеж,mʲɪˈtʲeʂ
мятежник,mʲɪˈtʲeʐnʲɪk
мятежница,mʲɪˈtʲeʐnʲɪt͡sə
мятежнический,mʲɪˈtʲeʐnʲɪt͡ɕɪskʲɪɪ̯
мятежно,mʲɪˈtʲeʐnə
мятежность,mʲɪˈtʲeʐnəsʲtʲ
мятежный,mʲɪˈtʲeʐnɨɪ̯
мятлик,ˈmʲatlʲɪk
мятный,ˈmʲatnɨɪ̯
мятущийся,mʲɪˈtuɕːɪɪ̯sʲə
мятый,ˈmʲatɨɪ̯
мять,mʲætʲ
мяться,ˈmʲat͡sːə
мятьё,mʲɪˈtʲjɵ
мяу,ˈmʲaʊ
мяукание,mʲɪˈukənʲɪɪ̯ə
мяуканье,mʲɪˈukənʲɪ̯ə
мяукать,mʲɪˈukətʲ
мяукающий,mʲɪˈukəjʉɕːɪɪ̯
мяукнуть,mʲɪˈuknʊtʲ
мяучить,mʲɪˈut͡ɕɪtʲ
мяч,mʲæt͡ɕ
мячик,ˈmʲæt͡ɕɪk
